,birth year,locPoint
5,1984.0,POINT (-73.96150225 40.72057658)
605,1970.0,POINT (-73.96150225 40.72057658)
14,1989.0,POINT (-73.95865999999999 40.73564)
16,1993.0,POINT (-73.95865999999999 40.73564)
14,1989.0,POINT (-73.95865999999999 40.73564)
16,1993.0,POINT (-73.95865999999999 40.73564)
19,1982.0,POINT (-73.95826 40.73266)
33,1972.0,POINT (-73.99595065 40.69512845)
50,1993.0,POINT (-73.99712 40.69878)
57,1993.0,POINT (-73.94882 40.71764)
639,1979.0,POINT (-73.94882 40.71764)
819,1980.0,POINT (-73.94882 40.71764)
902,1984.0,POINT (-73.94882 40.71764)
1020,1988.0,POINT (-73.94882 40.71764)
61,1987.0,POINT (-73.95779 40.72906)
907,1980.0,POINT (-73.95779 40.72906)
1204,1977.0,POINT (-73.95779 40.72906)
73,1992.0,POINT (-73.98940236 40.70255088)
672,1982.0,POINT (-73.98940236 40.70255088)
1984,1965.0,POINT (-73.98940236 40.70255088)
80,1983.0,POINT (-73.95621 40.72606)
81,1988.0,POINT (-73.95621 40.72606)
1066,1986.0,POINT (-73.95621 40.72606)
1921,1981.0,POINT (-73.95621 40.72606)
1923,1980.0,POINT (-73.95621 40.72606)
80,1983.0,POINT (-73.95621 40.72606)
81,1988.0,POINT (-73.95621 40.72606)
1066,1986.0,POINT (-73.95621 40.72606)
1921,1981.0,POINT (-73.95621 40.72606)
1923,1980.0,POINT (-73.95621 40.72606)
90,1980.0,POINT (-73.95982218 40.70925562)
162,1990.0,POINT (-73.95982218 40.70925562)
791,1977.0,POINT (-73.95982218 40.70925562)
1133,1970.0,POINT (-73.95982218 40.70925562)
1755,1976.0,POINT (-73.95982218 40.70925562)
114,1974.0,POINT (-73.95850939 40.71745169)
961,1991.0,POINT (-73.95850939 40.71745169)
1017,1975.0,POINT (-73.95850939 40.71745169)
1038,1988.0,POINT (-73.95850939 40.71745169)
1430,1981.0,POINT (-73.95850939 40.71745169)
120,1983.0,POINT (-73.96525063 40.71044554)
571,1985.0,POINT (-73.96525063 40.71044554)
575,1984.0,POINT (-73.96525063 40.71044554)
716,1972.0,POINT (-73.96525063 40.71044554)
773,1985.0,POINT (-73.96525063 40.71044554)
1092,1986.0,POINT (-73.96525063 40.71044554)
121,1981.0,POINT (-73.95852515 40.7190095)
297,1968.0,POINT (-73.95852515 40.7190095)
625,1981.0,POINT (-73.95852515 40.7190095)
673,1980.0,POINT (-73.95852515 40.7190095)
844,1980.0,POINT (-73.95852515 40.7190095)
1127,1977.0,POINT (-73.95852515 40.7190095)
130,1967.0,POINT (-73.98656928 40.7014851)
987,1983.0,POINT (-73.98656928 40.7014851)
1278,1963.0,POINT (-73.98656928 40.7014851)
135,1975.0,POINT (-73.95095259 40.70877084)
1340,1988.0,POINT (-73.95095259 40.70877084)
1995,1986.0,POINT (-73.95095259 40.70877084)
138,1971.0,POINT (-73.96922273 40.68415748)
139,1982.0,POINT (-73.96922273 40.68415748)
388,1988.0,POINT (-73.96922273 40.68415748)
562,1982.0,POINT (-73.96922273 40.68415748)
929,1975.0,POINT (-73.96922273 40.68415748)
138,1971.0,POINT (-73.96922273 40.68415748)
139,1982.0,POINT (-73.96922273 40.68415748)
388,1988.0,POINT (-73.96922273 40.68415748)
562,1982.0,POINT (-73.96922273 40.68415748)
929,1975.0,POINT (-73.96922273 40.68415748)
90,1980.0,POINT (-73.95982218 40.70925562)
162,1990.0,POINT (-73.95982218 40.70925562)
791,1977.0,POINT (-73.95982218 40.70925562)
1133,1970.0,POINT (-73.95982218 40.70925562)
1755,1976.0,POINT (-73.95982218 40.70925562)
164,1963.0,POINT (-73.99344558999999 40.69760127)
220,1979.0,POINT (-73.99344558999999 40.69760127)
441,1985.0,POINT (-73.99344558999999 40.69760127)
448,1985.0,POINT (-73.99344558999999 40.69760127)
165,1978.0,POINT (-73.95380904 40.6851443)
166,1977.0,POINT (-73.95380904 40.6851443)
165,1978.0,POINT (-73.95380904 40.6851443)
166,1977.0,POINT (-73.95380904 40.6851443)
174,1974.0,POINT (-73.95202900000001 40.7160751)
422,1981.0,POINT (-73.95202900000001 40.7160751)
826,1961.0,POINT (-73.95202900000001 40.7160751)
1568,1970.0,POINT (-73.95202900000001 40.7160751)
184,1982.0,POINT (-73.95032283 40.70029511)
203,1981.0,POINT (-73.96023854000001 40.68900443)
373,1987.0,POINT (-73.96023854000001 40.68900443)
906,1973.0,POINT (-73.96023854000001 40.68900443)
1528,1986.0,POINT (-73.96023854000001 40.68900443)
164,1963.0,POINT (-73.99344558999999 40.69760127)
220,1979.0,POINT (-73.99344558999999 40.69760127)
441,1985.0,POINT (-73.99344558999999 40.69760127)
448,1985.0,POINT (-73.99344558999999 40.69760127)
221,1981.0,POINT (-73.94708417 40.69957608)
848,1973.0,POINT (-73.94708417 40.69957608)
229,1975.0,POINT (-73.944507 40.715143)
326,1981.0,POINT (-73.944507 40.715143)
557,1966.0,POINT (-73.944507 40.715143)
559,1964.0,POINT (-73.944507 40.715143)
958,1981.0,POINT (-73.944507 40.715143)
1043,1987.0,POINT (-73.944507 40.715143)
245,1966.0,POINT (-73.95234386 40.71413311)
635,1985.0,POINT (-73.95234386 40.71413311)
972,1983.0,POINT (-73.95234386 40.71413311)
1042,1988.0,POINT (-73.95234386 40.71413311)
1146,1971.0,POINT (-73.95234386 40.71413311)
257,1990.0,POINT (-73.94142771 40.67890679)
258,1989.0,POINT (-73.94142771 40.67890679)
372,1955.0,POINT (-73.94142771 40.67890679)
257,1990.0,POINT (-73.94142771 40.67890679)
258,1989.0,POINT (-73.94142771 40.67890679)
372,1955.0,POINT (-73.94142771 40.67890679)
277,1992.0,POINT (-73.9647628 40.68851534)
407,1974.0,POINT (-73.9647628 40.68851534)
282,1986.0,POINT (-73.98410637000001 40.68807003)
296,1986.0,POINT (-73.98410637000001 40.68807003)
1271,1994.0,POINT (-73.98410637000001 40.68807003)
289,1989.0,POINT (-73.964915 40.683048)
420,1984.0,POINT (-73.964915 40.683048)
1457,1977.0,POINT (-73.964915 40.683048)
1472,1986.0,POINT (-73.964915 40.683048)
282,1986.0,POINT (-73.98410637000001 40.68807003)
296,1986.0,POINT (-73.98410637000001 40.68807003)
1271,1994.0,POINT (-73.98410637000001 40.68807003)
121,1981.0,POINT (-73.95852515 40.7190095)
297,1968.0,POINT (-73.95852515 40.7190095)
625,1981.0,POINT (-73.95852515 40.7190095)
673,1980.0,POINT (-73.95852515 40.7190095)
844,1980.0,POINT (-73.95852515 40.7190095)
1127,1977.0,POINT (-73.95852515 40.7190095)
300,1988.0,POINT (-73.96968902 40.68764484)
1098,1993.0,POINT (-73.96968902 40.68764484)
301,1985.0,POINT (-73.95600096 40.71774592)
368,1986.0,POINT (-73.95600096 40.71774592)
439,1986.0,POINT (-73.95600096 40.71774592)
616,1983.0,POINT (-73.95600096 40.71774592)
908,1980.0,POINT (-73.95600096 40.71774592)
