,birth year,locPoint
0,1958.0,POINT (-73.99973337 40.71910537)
3,1961.0,POINT (-73.99973337 40.71910537)
7,1996.0,POINT (-73.99973337 40.71910537)
523,1974.0,POINT (-73.99973337 40.71910537)
696,1954.0,POINT (-73.99973337 40.71910537)
1,1969.0,POINT (-73.97966069 40.74394314)
757,1986.0,POINT (-73.97966069 40.74394314)
1201,1971.0,POINT (-73.97966069 40.74394314)
1498,1992.0,POINT (-73.97966069 40.74394314)
1540,1987.0,POINT (-73.97966069 40.74394314)
1756,1961.0,POINT (-73.97966069 40.74394314)
1930,1980.0,POINT (-73.97966069 40.74394314)
2,1982.0,POINT (-74.00176802 40.75066386)
514,1980.0,POINT (-74.00176802 40.75066386)
823,1973.0,POINT (-74.00176802 40.75066386)
905,1985.0,POINT (-74.00176802 40.75066386)
935,1990.0,POINT (-74.00176802 40.75066386)
962,1974.0,POINT (-74.00176802 40.75066386)
963,1989.0,POINT (-74.00176802 40.75066386)
966,1986.0,POINT (-74.00176802 40.75066386)
1010,1978.0,POINT (-74.00176802 40.75066386)
1011,1981.0,POINT (-74.00176802 40.75066386)
1130,1985.0,POINT (-74.00176802 40.75066386)
1450,1971.0,POINT (-74.00176802 40.75066386)
1656,1988.0,POINT (-74.00176802 40.75066386)
1747,1967.0,POINT (-74.00176802 40.75066386)
0,1958.0,POINT (-73.99973337 40.71910537)
3,1961.0,POINT (-73.99973337 40.71910537)
7,1996.0,POINT (-73.99973337 40.71910537)
523,1974.0,POINT (-73.99973337 40.71910537)
696,1954.0,POINT (-73.99973337 40.71910537)
4,1952.0,POINT (-73.97634151 40.76590936)
48,1956.0,POINT (-73.97634151 40.76590936)
336,1963.0,POINT (-73.97634151 40.76590936)
345,1963.0,POINT (-73.97634151 40.76590936)
913,1975.0,POINT (-73.97634151 40.76590936)
1251,1961.0,POINT (-73.97634151 40.76590936)
1432,1958.0,POINT (-73.97634151 40.76590936)
1583,1987.0,POINT (-73.97634151 40.76590936)
1956,1981.0,POINT (-73.97634151 40.76590936)
6,1963.0,POINT (-73.98093044757842 40.77966809007312)
914,1982.0,POINT (-73.98093044757842 40.77966809007312)
1561,1985.0,POINT (-73.98093044757842 40.77966809007312)
1649,1976.0,POINT (-73.98093044757842 40.77966809007312)
0,1958.0,POINT (-73.99973337 40.71910537)
3,1961.0,POINT (-73.99973337 40.71910537)
7,1996.0,POINT (-73.99973337 40.71910537)
523,1974.0,POINT (-73.99973337 40.71910537)
696,1954.0,POINT (-73.99973337 40.71910537)
8,1963.0,POINT (-73.976056 40.744023)
204,1985.0,POINT (-73.976056 40.744023)
460,1982.0,POINT (-73.976056 40.744023)
1221,1992.0,POINT (-73.976056 40.744023)
1313,1973.0,POINT (-73.976056 40.744023)
1389,1986.0,POINT (-73.976056 40.744023)
1665,1963.0,POINT (-73.976056 40.744023)
9,1971.0,POINT (-73.98379855 40.72621788)
331,1994.0,POINT (-73.98379855 40.72621788)
382,1982.0,POINT (-73.98379855 40.72621788)
602,1979.0,POINT (-73.98379855 40.72621788)
669,1984.0,POINT (-73.98379855 40.72621788)
813,1993.0,POINT (-73.98379855 40.72621788)
956,1984.0,POINT (-73.98379855 40.72621788)
1053,1942.0,POINT (-73.98379855 40.72621788)
1145,1992.0,POINT (-73.98379855 40.72621788)
1216,1995.0,POINT (-73.98379855 40.72621788)
